sample_index,Age_months,y_observed,y_fitted,residual,H_factor_01,H_factor_02,H_factor_03,H_factor_04,H_factor_05
796,72,0.47890018844307,0.3909277,0.08797248,-0.05936844,-0.02439359,-0.0310934,-0.004044239,-0.02321226
797,48,-0.602228871917013,-0.137531,-0.4646978,0.005887035,0.02860377,0.006285391,0.02672985,0.05659004
798,72,0.107178307165253,-0.08111801,0.1882963,-0.001133371,-0.0296718,-0.03405834,0.007390848,-0.04157025
799,9,-0.541243352875812,-0.1914593,-0.349784,0.02436709,0.02262227,0.001142257,-0.0406049,0.007556266
800,3,-0.23157766290206,-0.1714444,-0.06013328,0.02703427,0.02477448,-0.007036719,-0.06384757,-0.05104634
801,3,-0.186382179029705,-0.004054236,-0.1823279,0.01966384,-0.03704693,0.01405845,-0.04736321,0.0007496834
802,48,0.805803471323067,-0.09859682,0.9044003,0.01665403,-0.03187384,0.004202311,0.02146186,0.00292292
803,72,0.374586625152391,0.08713844,0.2874482,-0.03648176,0.03664523,-0.04204654,-0.01272317,-0.02535591
804,72,0.180750158940011,-0.04054736,0.2212975,-0.004958921,0.03069666,-0.0309169,-0.02106201,-0.08137172
805,48,0.0302258151368567,-0.02285548,0.05308129,0.01238247,-0.0325553,0.01709765,0.03183883,0.01475935
806,3,0.282102916453593,0.2017088,0.0803941,0.026402,0.02078972,0.07384899,-0.02268037,-0.06030308
807,72,-0.474056196515048,-0.2500575,-0.2239987,0.01374674,0.02861358,-0.02581604,0.02645728,-0.0427159
808,72,0.0484778337252267,0.291202,-0.2427242,-0.04925772,0.03136717,-0.01849718,-0.02526346,0.004072158
809,72,-0.417885246632786,-0.06678917,-0.3510961,-0.02014303,0.03197549,-0.04548902,-0.005957276,-0.02157241
810,48,0.314376223689661,-0.1516894,0.4660656,0.01460857,-0.0303267,-0.002329412,0.03755197,0.02312479
811,48,0.71522339743052,0.1043559,0.6108675,-0.02630039,-0.0273807,-0.01888883,0.01171395,0.03851252
812,3,-0.648408805934062,-0.009088774,-0.63932,0.02662803,-0.03863896,0.02250442,-0.04487832,-0.00961931
813,3,-0.319899431617698,-0.1086555,-0.2112439,0.02918531,0.02274881,0.02612831,-0.04012538,0.005810007
814,9,0.219990335151656,-0.2447726,0.4647629,0.0260568,-0.03518099,-0.01066962,-0.01067438,0.03213763
815,3,-0.241656795951461,0.02410699,-0.2657638,0.02541731,-0.03696879,0.03721879,-0.008467058,0.002063215
816,48,1.11147659256794,-0.2130111,1.324488,0.01194338,-0.03015882,-0.030866,0.01789435,-0.01161703
817,72,-0.609747323862703,-0.1333706,-0.4763767,-0.008963833,-0.02675157,-0.05167979,0.01471419,-0.02237823
818,48,-0.111172460675599,0.6881932,-0.7993656,-0.07397347,0.0279312,0.02065551,-0.03699465,0.01153546
819,48,0.819834128800182,0.8607864,-0.04095231,-0.09926036,0.02876642,0.01739982,-0.0365543,0.02633011
820,72,0.897143499574482,-0.03577605,0.9329196,-0.01529825,-0.02664909,-0.04277857,0.01163606,-0.02277207
821,48,-1.15198147685762,-0.2414145,-0.9105669,0.02460297,0.03006013,0.01354204,0.03515576,0.03538114
822,9,-0.0649623254557412,-0.1415562,0.07659392,0.02473216,-0.03507351,0.0007784552,-0.01739551,0.003007356
823,9,0.402976146162189,-0.1247946,0.5277708,0.0213246,-0.03342124,-0.005735943,-0.01376366,-0.02118145
824,72,-0.662837983203415,-0.2361816,-0.4266563,0.006508566,0.03678814,-0.02005192,0.02266139,0.01920643
825,48,0.330643877043611,0.2059999,0.124644,-0.03552843,-0.02840031,-0.01971011,-0.002961036,0.0235835
826,72,-1.20049886478991,-0.3541929,-0.846306,0.01692392,0.03702174,-0.04289439,0.01741743,-0.04859708
827,48,0.41958237317166,0.009252721,0.4103296,-0.007804773,-0.03045505,-0.01844521,-0.002583541,0.004563413
828,72,-0.568826495860088,0.1468312,-0.7156577,-0.02325295,-0.02888701,-0.02590123,-0.004544854,-0.04045908
829,3,-0.150408493750832,-0.1923253,0.04191678,0.02862285,0.02283134,0.005379253,-0.04085539,-0.00487317
830,72,1.59825167567209,-0.3039762,1.902228,0.01434343,0.03541416,-0.01963948,0.03823483,0.01321325
831,72,0.112218241900391,-0.3918651,0.5040834,0.01645182,0.03439911,-0.04541872,0.02270645,-0.02267755
832,3,-0.352060470526616,-0.009786498,-0.342274,0.02201428,0.02350604,0.03829269,-0.02697664,0.01074445
833,72,-0.697546564474378,-0.1202177,-0.5773289,-0.006520794,-0.02574742,-0.04827905,0.02111756,-0.0444972
834,72,-0.144831881558416,0.04100103,-0.1858329,-0.01819997,-0.02681353,-0.03252274,0.01546019,-0.02925003
835,9,0.476980637561007,0.04895779,0.4280229,0.007864063,-0.03437409,0.005137795,-0.02538777,-0.02121317
836,48,-0.399164212203869,0.1843194,-0.5834836,0.001041299,0.03241099,0.05606955,0.05760614,-0.01333649
837,3,-0.395087170945018,0.06996636,-0.4650535,0.02846519,-0.03772323,0.05261988,-0.004572415,0.003127443
838,9,0.0892889316861753,-0.2495633,0.3388522,0.02671253,0.0251704,0.003522272,-0.01839622,0.03295615
839,48,1.32836657579918,0.05843434,1.269932,-0.006175291,0.03010036,0.007326978,0.006894107,-0.01506979
840,48,0.561423246346215,0.3004784,0.2609448,-0.03285392,-0.02933171,0.008807558,0.00857019,0.0349673
841,3,-0.453660183832323,-0.1765238,-0.2771363,0.02987536,-0.03816887,-0.001266815,-0.04832314,0.01727935
842,3,-0.164100314685567,-0.1515082,-0.01259209,0.02814073,-0.03555059,0.01135972,-0.005837447,0.02489718
