ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
GO:0005976,polysaccharide metabolic process,4/323,94/18842,0.0425531914893617,2.4823134180884,1.9027028311699359,0.07822912724722911,1,1,PHKA1/PPP1R3F/WDR45/CHST7,4
GO:0007264,small GTPase-mediated signal transduction,13/323,490/18842,0.026530612244897958,1.5476464269918493,1.6221875666057113,0.08045530269308368,1,1,ARHGEF9/RAC1/RAB33A/FGD1/GDI1/DOCK11/ARHGAP23/RASGRP2/STARD8/RAP2C/ARHGAP6/TNK2/CHM,13
GO:0141084,inflammasome-mediated signaling pathway,3/323,59/18842,0.05084745762711865,2.9661541690717317,1.9975863659634727,0.08051936792787205,1,1,BRCC3/IRAK1/LAMP2,3
GO:1901799,negative regulation of proteasomal protein catabolic process,3/323,59/18842,0.05084745762711865,2.9661541690717317,1.9975863659634727,0.08051936792787205,1,1,F8A3/F8A1/F8A2,3
GO:0000423,mitophagy,4/323,95/18842,0.042105263157894736,2.456183803161154,1.87912893206771,0.08062238166081627,1,1,ATG4A/SLC25A5/UBE2A/HUWE1,4
GO:0050807,regulation of synapse organization,9/323,306/18842,0.029411764705882353,1.7157166272081588,1.6670102861805323,0.08184177946901931,1,1,NLGN3/GPC4/ARMCX5-GPRASP2/RAC1/SRPX2/IL1RAPL2/PGRMC1/SLITRK4/PDZD11,9
GO:0005980,glycogen catabolic process,2/323,28/18842,0.07142857142857142,4.166740380362672,2.2146004095589267,0.08272457231654243,1,1,PHKA1/WDR45,2
GO:0006476,protein deacetylation,2/323,28/18842,0.07142857142857142,4.166740380362672,2.2146004095589267,0.08272457231654243,1,1,FLNA/BEX4,2
GO:0046621,negative regulation of organ growth,2/323,28/18842,0.07142857142857142,4.166740380362672,2.2146004095589267,0.08272457231654243,1,1,WWC3/G6PD,2
GO:0051156,glucose 6-phosphate metabolic process,2/323,28/18842,0.07142857142857142,4.166740380362672,2.2146004095589267,0.08272457231654243,1,1,PRPS2/G6PD,2
GO:0071108,protein K48-linked deubiquitination,2/323,28/18842,0.07142857142857142,4.166740380362672,2.2146004095589267,0.08272457231654243,1,1,USP27X/OTUD5,2
GO:0072376,protein activation cascade,2/323,28/18842,0.07142857142857142,4.166740380362672,2.2146004095589267,0.08272457231654243,1,1,FLNA/F8,2
GO:1901655,cellular response to ketone,4/323,96/18842,0.041666666666666664,2.4305985552115588,1.8558529534788273,0.0830516252799057,1,1,ADCY3/AR/ELK1/AIFM1,4
GO:0030522,intracellular receptor signaling pathway,11/323,399/18842,0.02756892230576441,1.6082155854031364,1.6217080760370923,0.083511363220218,1,1,PAQR7/ZDHHC9/PDK3/MN1/AR/XIAP/KDM5D/BRCC3/IRAK1/HUWE1/LAMP2,11
GO:0051148,negative regulation of muscle cell differentiation,3/323,60/18842,0.05,2.91671826625387,1.9638461374652634,0.08373130200259532,1,1,FOXO4/MECP2/G6PD,3
